week,date,long_ret,short_ret,ctrend_ret,n_coins,n_long,n_short,n_cols
202249,2022-12-09,-0.05042585444277215,-0.05042585444277215,0.0,118,118,118,28
202250,2022-12-16,0.011742967173734515,0.011742967173734515,0.0,115,115,115,28
202251,2022-12-23,-0.01413497580305383,-0.01413497580305383,0.0,80,80,80,28
202252,2022-12-30,0.011757344375771663,0.28978902799745077,-0.2780316836216791,94,19,19,28
202301,2023-01-06,0.16652535120383274,0.16652535120383274,0.0,101,101,101,28
202302,2023-01-13,0.13913013204098723,0.002938444764699977,0.13619168727628725,116,24,24,28
202303,2023-01-20,0.014878463855219917,0.004199056891371696,0.010679406963848222,116,24,24,28
202304,2023-01-27,0.12976084172790664,0.017873342030402535,0.11188749969750411,123,25,25,28
202305,2023-02-03,-0.11712651229987205,-0.008285042198453907,-0.10884147010141813,121,25,25,28
202306,2023-02-10,0.2166503384895501,0.13421319793415631,0.08243714055539378,122,25,25,28
202307,2023-02-17,-0.03794184753015473,-0.05423522863861912,0.016293381108464386,129,26,26,28
202308,2023-02-24,-0.10610595700361206,-0.04778163470254512,-0.05832432230106693,131,27,27,28
202309,2023-03-03,-0.09223340248855706,-0.11248267603647821,0.02024927354792115,128,26,26,28
202310,2023-03-10,0.24747243563727572,0.32184422592709044,-0.07437179028981472,124,25,25,28
202311,2023-03-17,-0.012049647948627637,-0.012049647948627637,0.0,125,125,125,28
202312,2023-03-24,0.04001181020650091,0.04001181020650091,0.0,113,113,113,28
202313,2023-03-31,-0.009896090483477024,-0.009896090483477024,0.0,119,119,119,28
202314,2023-04-07,0.07771437864438668,0.07771437864438668,0.0,112,112,112,28
202315,2023-04-14,-0.12317950942003468,-0.07826007777278594,-0.044919431647248736,126,26,26,28
202316,2023-04-21,0.04683652555000559,0.04683652555000559,0.0,120,120,120,28
202317,2023-04-28,0.004008154374987442,0.004008154374987442,0.0,110,110,110,28
202318,2023-05-05,-0.0863850167441233,-0.0863850167441233,0.0,113,113,113,28
202319,2023-05-12,0.014627520268257433,0.014627520268257433,0.0,114,114,114,28
202320,2023-05-19,-0.006875067050241747,-0.006875067050241747,0.0,104,104,104,28
202321,2023-05-26,0.028098830922864075,0.028098830922864075,0.0,100,100,100,28
202322,2023-06-02,-0.05263814849584965,-0.05263814849584965,0.0,110,110,110,28
202323,2023-06-09,-0.05961820805125506,-0.05961820805125506,0.0,100,100,100,28
202324,2023-06-16,0.10918097044764859,0.10918097044764859,0.0,105,105,105,28
202325,2023-06-23,0.017725113756251746,0.017725113756251746,0.0,116,116,116,28
202326,2023-06-30,-0.021133537247430948,-0.021133537247430948,0.0,116,116,116,28
202327,2023-07-07,0.0513979321552617,0.0513979321552617,0.0,110,110,110,28
202328,2023-07-14,0.0004999418895044259,0.0004999418895044259,0.0,126,126,126,28
202329,2023-07-21,-0.02423550219842731,-0.02423550219842731,0.0,100,100,100,28
202330,2023-07-28,-0.025997323287351874,-0.025997323287351874,0.0,102,102,102,28
202331,2023-08-04,0.013994500149058887,0.008858280475881225,0.005136219673177662,100,20,20,28
202332,2023-08-11,-0.132096518121264,-0.06780394398870691,-0.06429257413255708,100,20,20,28
202333,2023-08-18,0.0034159717277128764,-0.0005918747226304269,0.004007846450343303,115,23,23,28
202334,2023-08-25,-0.015175447923632079,-0.015175447923632079,0.0,102,102,102,28
202335,2023-09-01,0.005355449364312297,0.005355449364312297,0.0,108,108,108,28
202336,2023-09-08,0.013330753348382518,0.013330753348382518,0.0,114,114,114,28
202337,2023-09-15,-0.0486012028437518,-0.0486012028437518,0.0,110,110,110,28
202338,2023-09-22,0.011076862850396624,0.011076862850396624,0.0,107,107,107,28
202339,2023-09-29,0.007321502139119117,0.007321502139119117,0.0,110,110,110,28
