date	YYYYWW	CTREND
2018-11-02	201844	-0.026556952
2018-11-09	201845	0.034973306
2018-11-16	201846	0.101060451
2018-11-23	201847	0.209881716
2018-11-30	201848	0.04100904
2018-12-07	201849	0.031970183
2018-12-14	201850	0.113601148
2018-12-21	201851	-0.407984658
2018-12-28	201852	0.017523486
2019-01-04	201901	0.056534118
2019-01-11	201902	0.007396016
2019-01-18	201903	0.046056776
2019-01-25	201904	0.02710682
2019-02-01	201905	-0.017053628
2019-02-08	201906	0.175523826
2019-02-15	201907	0.041593398
2019-02-22	201908	0.012320685
2019-03-01	201909	-0.040633054
2019-03-08	201910	0.124533489
2019-03-15	201911	0.056504446
2019-03-22	201912	0.042327047
2019-03-29	201913	0.084331048
2019-04-05	201914	0.087427776
2019-04-12	201915	-0.01864801
2019-04-19	201916	0.052189678
2019-04-26	201917	0.06296049
2019-05-03	201918	-0.026855995
2019-05-10	201919	0.311828887
2019-05-17	201920	-0.038459111
2019-05-24	201921	0.022184915
2019-05-31	201922	-0.037577855
2019-06-07	201923	-0.079589167
2019-06-14	201924	0.013943109
2019-06-21	201925	0.093625326
2019-06-28	201926	-0.005861152
2019-07-05	201927	0.046023799
2019-07-12	201928	0.03622538
2019-07-19	201929	-0.072438683
2019-07-26	201930	-0.055369198
2019-08-02	201931	0.013167407
2019-08-09	201932	0.056053032
2019-08-16	201933	-0.016048818
2019-08-23	201934	-0.08050904
2019-08-30	201935	0.005331286
2019-09-06	201936	-0.038394408
2019-09-13	201937	0.00471292
2019-09-20	201938	0.008895433
2019-09-27	201939	0.085914001
2019-10-04	201940	0.005951056
2019-10-11	201941	0.060057144
2019-10-18	201942	-0.053771661
2019-10-25	201943	-0.006938193
2019-11-01	201944	0.029692504
2019-11-08	201945	-0.005098255
2019-11-15	201946	-0.071996894
2019-11-22	201947	0.092748984
2019-11-29	201948	-0.046444955
2019-12-06	201949	-0.040571339
2019-12-13	201950	0.039165037
2019-12-20	201951	0.043355491
2019-12-27	201952	-0.008184634
2020-01-03	202001	0.072610548
2020-01-10	202002	0.118433807
2020-01-17	202003	-0.002943702
2020-01-24	202004	0.046873754
2020-01-31	202005	0.039432647
2020-02-07	202006	0.101093899
2020-02-14	202007	0.04635997
2020-02-21	202008	-0.129534497
2020-02-28	202009	-0.040191247
2020-03-06	202010	0.065889516
2020-03-13	202011	0.225755996
2020-03-20	202012	-0.160749214
2020-03-27	202013	-0.00371818
2020-04-03	202014	0.000330363
2020-04-10	202015	0.011621449
2020-04-17	202016	0.079126257
2020-04-24	202017	0.053005458
2020-05-01	202018	0.036536061
2020-05-08	202019	-0.01808085
2020-05-15	202020	-0.072370146
2020-05-22	202021	-0.083323712
2020-05-29	202022	-0.025019247
2020-06-05	202023	0.065509814
2020-06-12	202024	0.04632597
2020-06-19	202025	0.075308624
2020-06-26	202026	0.00079668
2020-07-03	202027	0.091833806
2020-07-10	202028	0.085042499
2020-07-17	202029	-0.012442664
2020-07-24	202030	-0.012656483
2020-07-31	202031	0.018685889
2020-08-07	202032	0.011305121
2020-08-14	202033	0.101302246
2020-08-21	202034	0.038955707
2020-08-28	202035	0.017950012
2020-09-04	202036	-0.043042998
2020-09-11	202037	-0.033176806
2020-09-18	202038	0.062206609
2020-09-25	202039	-0.063294113
2020-10-02	202040	0.10460431
2020-10-09	202041	-0.039556483
2020-10-16	202042	0.074335
2020-10-23	202043	0.165886123
2020-10-30	202044	0.131938133
2020-11-06	202045	-0.141382833
2020-11-13	202046	0.116808412
2020-11-20	202047	0.207985244
2020-11-27	202048	-0.07804412
2020-12-04	202049	-0.053936383
2020-12-11	202050	0.049634324
2020-12-18	202051	0.147939868
2020-12-25	202052	0.625964384
2021-01-08	202101	-0.130868212
2021-01-15	202102	-0.113036844
2021-01-22	202103	-0.024710492
2021-01-29	202104	0.168374164
2021-02-05	202105	0.140985514
2021-02-12	202106	-0.000709452
2021-02-19	202107	0.194599661
2021-02-26	202108	0.060092964
2021-03-05	202109	-0.026108427
2021-03-12	202110	0.093190091
2021-03-19	202111	0.208280086
2021-03-26	202112	0.197111018
2021-04-02	202113	0.078413835
2021-04-09	202114	0.167375
2021-04-16	202115	0.207950049
2021-04-23	202116	0.127036748
2021-04-30	202117	-0.046621925
2021-05-07	202118	0.116485645
2021-05-14	202119	0.097926473
2021-05-21	202120	0.027858265
2021-05-28	202121	-0.007986473
2021-06-04	202122	-0.105000136
2021-06-11	202123	0.173305475
2021-06-18	202124	0.086563995
